出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
1110217,11101,3231,緯創,電腦及週邊設備業,66957794,96078329,58569401,-30.30916056,14.32214238,66957794,58569401,14.32214238,-
1110217,11101,3257,虹冠電,半導體業,70512,92381,100723,-23.67261666,-29.99414235,70512,100723,-29.99414235,-
1110217,11101,3266,昇陽,建材營造,41833,56407,66075,-25.83721878,-36.68861143,41833,66075,-36.68861143,-
1110217,11101,3296,勝德,電子零組件業,210429,215109,242680,-2.175641187,-13.28951706,210429,242680,-13.28951706,-
1110217,11101,3305,昇貿,其他電子業,902182,851434,640261,5.960297569,40.90847326,902182,640261,40.90847326,-
1110217,11101,3308,聯德,電子零組件業,20872,52929,28998,-60.5660413,-28.02262225,20872,28998,-28.02262225,-
1110217,11101,3311,閎暉,通信網路業,160634,158037,161900,1.643286066,-0.781964175,160634,161900,-0.781964175,-
1110217,11101,3312,弘憶股,電子通路業,1654629,1808216,1405080,-8.493841444,17.76048339,1654629,1405080,17.76048339,-
1110217,11101,3321,同泰,電子零組件業,180905,177771,186589,1.762942212,-3.046267465,180905,186589,-3.046267465,-
1110217,11101,3338,泰碩,電子零組件業,447836,512751,428569,-12.66014108,4.495658809,447836,428569,4.495658809,-
1110217,11101,3346,麗清,汽車工業,561848,677368,656196,-17.05424526,-14.3780212,561848,656196,-14.3780212,-
1110217,11101,3356,奇偶,光電業,83212,104064,78329,-20.03766913,6.233961879,83212,78329,6.233961879,-
1110217,11101,3376,新日興,電子零組件業,1248392,1151839,1330183,8.382508319,-6.148853203,1248392,1330183,-6.148853203,-
1110217,11101,3380,明泰,通信網路業,1916949,2774688,2394050,-30.91298914,-19.92861469,1916949,2394050,-19.92861469,-
1110217,11101,3383,新世紀,光電業,37044,28270,50348,31.03643438,-26.42408835,37044,50348,-26.42408835,-
1110217,11101,3406,玉晶光,光電業,1307333,1843773,1128034,-29.0946879,15.89482232,1307333,1128034,15.89482232,-
1110217,11101,3413,京鼎,半導體業,1132842,1184540,963514,-4.364394617,17.57400515,1132842,963514,17.57400515,-
1110217,11101,3416,融程電,電腦及週邊設備業,175462,241133,196051,-27.23434785,-10.50185921,175462,196051,-10.50185921,-
1110217,11101,3419,譁裕,通信網路業,131694,105593,138577,24.7184946,-4.966913701,131694,138577,-4.966913701,-
1110217,11101,3432,台端,電子零組件業,1499,3039,3648,-50.674564,-58.90899123,1499,3648,-58.90899123,本月訂單減少所致
1110217,11101,3437,榮創,光電業,336188,306017,528846,9.859256185,-36.42988696,336188,528846,-36.42988696,-
1110217,11101,3443,創意,半導體業,1645799,1523360,1106465,8.037430417,48.74388254,1645799,1106465,48.74388254,-
1110217,11101,3450,聯鈞,半導體業,612895,601685,580670,1.863101124,5.549623711,612895,580670,5.549623711,-
1110217,11101,3454,晶睿,光電業,533987,580222,412355,-7.968501711,29.49691407,533987,412355,29.49691407,-
1110217,11101,3481,群創,光電業,24013292,26520842,27511858,-9.455016549,-12.71657479,24013292,27511858,-12.71657479,-
1110217,11101,3494,誠研,電腦及週邊設備業,33387,40975,32088,-18.51860891,4.048242334,33387,32088,4.048242334,-
1110217,11101,3501,維熹,電子零組件業,497144,522863,436720,-4.918879324,13.83586737,497144,436720,13.83586737,-
1110217,11101,3504,揚明光,光電業,381440,451361,287077,-15.49114788,32.87027522,381440,287077,32.87027522,部份產品之收入認列改以銷貨價格減除客戶所提供關鍵物料後之淨額入帳
1110217,11101,3515,華擎,電腦及週邊設備業,2223025,2204812,1649931,0.826056825,34.73442223,2223025,1649931,34.73442223,"“本年累計營業收入淨額”採年平均匯率計算,“本月營業收入淨額”採該月平均匯率計算,故累計營收淨額與各月營收淨額加總會有差異"
1110217,11101,3518,柏騰,其他電子業,56993,85754,74335,-33.53896028,-23.32952176,56993,74335,-23.32952176,-
1110217,11101,3528,安馳,電子通路業,515432,397085,609730,29.80394626,-15.46553392,515432,609730,-15.46553392,-
1110217,11101,3530,晶相光,半導體業,196419,291907,354402,-32.71178834,-44.57734437,196419,354402,-44.57734437,-
1110217,11101,3532,台勝科,半導體業,1238250,1070027,1010103,15.72137899,22.5865085,1238250,1010103,22.5865085,-
1110217,11101,3533,嘉澤,電子零組件業,2353130,2251050,1764317,4.534772662,33.37342439,2353130,1764317,33.37342439,-
1110217,11101,3535,晶彩科,光電業,113916,169962,190380,-32.97560631,-40.16388276,113916,190380,-40.16388276,-
1110217,11101,3536,誠創,半導體業,36583,57686,54103,-36.58253302,-32.38267749,36583,54103,-32.38267749,-
1110217,11101,3543,州巧,光電業,299151,305418,313540,-2.051941929,-4.589207119,299151,313540,-4.589207119,-
1110217,11101,3545,敦泰,半導體業,1377485,1666828,1358165,-17.35889966,1.422507575,1377485,1358165,1.422507575,-
1110217,11101,3550,聯穎,電子零組件業,360574,424776,433376,-15.11431908,-16.7988075,360574,433376,-16.7988075,-
1110217,11101,3557,嘉威,其他,1010011,693691,590752,45.59955369,70.97039028,1010011,590752,70.97039028,依客戶交期出貨
1110217,11101,3563,牧德,光電業,202746,195317,206154,3.803560366,-1.653133095,202746,206154,-1.653133095,-
1110217,11101,3576,聯合再生,光電業,1486447,1675981,853606,-11.30883942,74.13736548,1486447,853606,74.13736548,本公司產線擴增，且太陽能市場需求持續增加，以致營收較去年同期增加。
1110217,11101,3583,辛耘,半導體業,427217,549054,349679,-22.19034922,22.17405106,427217,349679,22.17405106,-
1110217,11101,3588,通嘉,半導體業,198716,190256,151684,4.446640316,31.00656628,198716,151684,31.00656628,-
1110217,11101,3591,艾笛森,光電業,176214,168784,204631,4.402076026,-13.88694773,176214,204631,-13.88694773,-
1110217,11101,3592,瑞鼎,半導體業,2626813,2351451,1776220,11.71030143,47.88781795,2626813,1776220,47.88781795,-
1110217,11101,3593,力銘,電子零組件業,91281,121858,111856,-25.09232057,-18.39418538,91281,111856,-18.39418538,-
1110217,11101,3596,智易,通信網路業,3391378,3079898,3249096,10.11332193,4.379125763,3391378,3249096,4.379125763,-
1110217,11101,3605,宏致,電子零組件業,1051469,866437,846428,21.35550536,24.22426952,1051469,846428,24.22426952,"本公司於110年4月新增子公司Genesis創世紀公司 ,本年合併營收金額含Genesis創世紀公司之營收金額"
1110217,11101,3607,谷崧,電子零組件業,306393,346140,385536,-11.48292598,-20.52804407,306393,385536,-20.52804407,-
1110217,11101,3617,碩天,其他電子業,672374,654773,791834,2.688107176,-15.0864954,672374,791834,-15.0864954,-
1110217,11101,3622,洋華,光電業,78127,136518,83661,-42.77164916,-6.614790643,78127,83661,-6.614790643,-
1110217,11101,3645,達邁,電子零組件業,220922,202376,197224,9.164130134,12.01577901,220922,197224,12.01577901,-
1110217,11101,3653,健策,電子零組件業,885816,885800,626528,0.001806277,41.38490219,885816,626528,41.38490219,-
1110217,11101,3661,世芯-KY,半導體業,874914,793411,748874,10.27248173,16.83060168,874914,748874,16.83060168,-
1110217,11101,3665,貿聯-KY,其他電子業,3212362,2879354,2114796,11.56537195,51.89937942,3212362,2114796,51.89937942,本公司1/20完成德商LEONI集團旗下工業應用事業群收購。
1110217,11101,3669,圓展,通信網路業,214100,241401,360984,-11.30939806,-40.68989207,214100,360984,-40.68989207,-
1110217,11101,3673,TPK-KY,光電業,7718270,9064294,10916620,-14.84973899,-29.29798784,7718270,10916620,-29.29798784,-
1110217,11101,3679,新至陞,電子零組件業,378456,390007,595023,-2.961741712,-36.39640821,378456,595023,-36.39640821,-
1110217,11101,3682,亞太電,通信網路業,1110173,1111242,1113002,-0.096198668,-0.254177441,1110173,1113002,-0.254177441,-
1110217,11101,3686,達能,半導體業,12327,12410,10165,-0.668815471,21.2690605,12327,10165,21.2690605,-
1110217,11101,3694,海華,通信網路業,807160,973806,883527,-17.1128541,-8.643425724,807160,883527,-8.643425724,-
1110217,11101,3701,大眾控,電腦及週邊設備業,1095766,1192374,807556,-8.102155867,35.68916583,1095766,807556,35.68916583,-
1110217,11101,3702,大聯大,電子通路業,68692434,70509147,61331135,-2.576563577,12.00254813,68692434,61331135,12.00254813,-
1110217,11101,3703,欣陸,建材營造,2728982,3077837,2331733,-11.33442089,17.03664185,2728982,2331733,17.03664185,-
1110217,11101,3704,合勤控,通信網路業,2399957,2483071,2224607,-3.347226076,7.882291119,2399957,2224607,7.882291119,-
1110217,11101,3705,永信,生技醫療業,758338,752956,734637,0.714782803,3.226219208,758338,734637,3.226219208,-
1110217,11101,3706,神達,電腦及週邊設備業,4133379,3268835,3514392,26.44807707,17.61291854,4133379,3514392,17.61291854,-
1110217,11101,3708,上緯投控,化學工業,922338,964292,1088688,-4.350756825,-15.27985979,922338,1088688,-15.27985979,-
1110217,11101,3711,日月光投控,半導體業,48573947,59664942,40847914,-18.58879709,18.91414333,48573947,40847914,18.91414333,-
1110217,11101,3712,永崴投控,電腦及週邊設備業,788528,2228883,669845,-64.62227941,17.71797953,788528,669845,17.71797953,-
1110217,11101,3714,富采,光電業,3051739,3333593,2314387,-8.454961359,31.85949454,3051739,2314387,31.85949454,"利晶江蘇自111年1月起非本公司合併個體,若各期不含利晶,1月與前期營收增減為-1.1%,與去年同期營收增減為34.6%"
1110217,11101,4104,佳醫,生技醫療業,642618,607566,552882,5.769249761,16.23058808,642618,552882,16.23058808,-
1110217,11101,4106,雃博,生技醫療業,191914,201639,179988,-4.822975714,6.625997289,191914,179988,6.625997289,-
1110217,11101,4108,懷特,生技醫療業,11018,11700,7594,-5.829059829,45.08822755,11018,7594,45.08822755,懷特血寶&#174;凍晶注射劑銷售持續成長，當月營收較去年同期增長45.09%
